Transaction ID,Date,Product ID,Product Name,Product Category,Quantity,PPU,Amount
Customer-001,Yangon,,,,,,
T000001,01.01.2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,8,"70,000","560,000"
T000002,01.01.2025,PROD-002,Wireless Mechanical Keyboard,Electronics,10,"380,000","3,800,000"
T000003,01.01.2025,PROD-004,Standing Desk Converter,Furniture,6,"500,000","3,000,000"
T000004,01.01.2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,3,"25,500","76,500"
T000308,02.01.2025,PROD-002,Wireless Mechanical Keyboard,Electronics,10,"380,000","3,800,000"
T000614,03.01.2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,10,"70,000","700,000"
T000615,03.01.2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,1,"25,500","25,500"
T000912,04.01.2025,PROD-001,Ergonomic Mesh Chair,Furniture,6,"750,000","4,500,000"
T001206,05.01.2025,PROD-009,Adjustable Monitor Arm,Furniture,10,"195,000","1,950,000"
T001521,06.01.2025,PROD-009,Adjustable Monitor Arm,Furniture,7,"195,000","1,365,000"
T001854,07.01.2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,1,"25,500","25,500"
T001855,07.01.2025,PROD-009,Adjustable Monitor Arm,Furniture,9,"195,000","1,755,000"
T001856,07.01.2025,PROD-001,Ergonomic Mesh Chair,Furniture,8,"750,000","6,000,000"
T001857,07.01.2025,PROD-010,Webcam 1080p HD,Electronics,10,"180,000","1,800,000"
T002730,10.01.2025,PROD-005,Noise-Cancelling Headphones,Electronics,1,"900,000","900,000"
T002731,10.01.2025,PROD-001,Ergonomic Mesh Chair,Furniture,2,"750,000","1,500,000"
T003021,11.01.2025,PROD-005,Noise-Cancelling Headphones,Electronics,5,"900,000","4,500,000"
T003022,11.01.2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,9,"70,000","630,000"
T003341,12.01.2025,PROD-003,27-inch 4K Monitor,Electronics,9,"1,200,000","10,800,000"
T003342,12.01.2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,9,"25,500","229,500"
T003637,13.01.2025,PROD-005,Noise-Cancelling Headphones,Electronics,7,"900,000","6,300,000"
T003916,14.01.2025,PROD-009,Adjustable Monitor Arm,Furniture,4,"195,000","780,000"
T004240,15.01.2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,9,"25,500","229,500"
T004842,17.01.2025,PROD-002,Wireless Mechanical Keyboard,Electronics,6,"380,000","2,280,000"
T004843,17.01.2025,PROD-001,Ergonomic Mesh Chair,Furniture,6,"750,000","4,500,000"
T004844,17.01.2025,PROD-004,Standing Desk Converter,Furniture,2,"500,000","1,000,000"
T005179,18.01.2025,PROD-005,Noise-Cancelling Headphones,Electronics,8,"900,000","7,200,000"
T005180,18.01.2025,PROD-010,Webcam 1080p HD,Electronics,1,"180,000","180,000"
T005181,18.01.2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,3,"25,500","76,500"
